model,ablation,question_id,meta_info,dss,correct_alpha,correct_beta,correct_gamma,correct_answer,final_alpha,final_beta,final_gamma
biomistral,full,MQ_0718,step2&3,0.6897,False,False,False,D,A,A,A
biomistral,full,MQ_0983,step2&3,0.6909,False,False,False,D,C,C,C
biomistral,full,MQ_0629,step2&3,0.6954,False,False,False,D,A,A,A
biomistral,full,MQ_0968,step2&3,0.6967,True,True,True,A,A,A,A
biomistral,full,MQ_0372,step2&3,0.6979,False,False,False,C,A,A,A
biomistral,full,MQ_0595,step2&3,0.6979,False,False,False,D,A,C,A
biomistral,full,MQ_0324,step2&3,0.699,False,False,False,B,A,A,A
biomistral,full,MQ_0490,step2&3,0.6992,True,True,True,A,A,A,A
biomistral,full,MQ_0717,step1,0.7004,False,False,False,B,A,A,A
biomistral,full,MQ_0164,step2&3,0.701,False,False,False,B,A,A,A
biomistral,full,MQ_0723,step2&3,0.7035,False,False,False,B,A,A,A
biomistral,full,MQ_0634,step2&3,0.7036,False,False,False,C,A,A,A
biomistral,full,MQ_0150,step1,0.7056,False,False,False,D,A,A,A
biomistral,full,MQ_0875,step2&3,0.706,False,False,False,C,A,A,A
biomistral,full,MQ_0099,step1,0.7086,True,True,True,A,A,A,A
biomistral,full,MQ_0392,step1,0.7113,True,True,True,A,A,A,A
biomistral,full,MQ_0883,step2&3,0.7134,True,True,True,A,A,A,A
biomistral,full,MQ_0071,step1,0.715,False,False,False,B,A,A,A
biomistral,full,MQ_0765,step2&3,0.715,False,False,False,B,A,A,A
biomistral,full,MQ_0593,step2&3,0.7154,False,True,False,B,D,B,D
biomistral,full,MQ_0072,step2&3,0.7164,True,True,True,A,A,A,A
biomistral,full,MQ_0618,step2&3,0.7164,False,False,False,B,A,A,A
biomistral,full,MQ_0588,step2&3,0.7174,False,False,False,B,A,A,A
biomistral,full,MQ_0810,step1,0.7179,True,False,True,A,A,C,A
biomistral,full,MQ_0160,step2&3,0.7192,False,False,False,D,A,A,A
biomistral,full,MQ_0628,step2&3,0.7193,False,False,False,D,A,A,A
biomistral,full,MQ_0895,step2&3,0.7194,False,False,False,C,A,A,A
biomistral,full,MQ_0406,step2&3,0.7203,False,True,False,C,A,C,A
biomistral,full,MQ_0567,step2&3,0.7207,False,True,False,C,A,C,A
biomistral,full,MQ_0285,step1,0.722,False,False,False,C,A,A,A
biomistral,full,MQ_0464,step2&3,0.7221,False,False,False,D,A,A,A
biomistral,full,MQ_0471,step2&3,0.7221,True,True,True,A,A,A,A
biomistral,full,MQ_0551,step1,0.724,False,False,False,B,A,A,C
biomistral,full,MQ_0740,step2&3,0.7242,True,True,True,A,A,A,A
biomistral,full,MQ_0507,step2&3,0.7243,False,False,False,C,A,A,A
biomistral,full,MQ_0470,step2&3,0.7261,True,True,True,A,A,A,A
biomistral,full,MQ_0979,step1,0.7265,False,False,False,D,A,A,A
biomistral,full,MQ_0640,step2&3,0.7273,False,False,False,D,A,A,A
biomistral,full,MQ_0081,step2&3,0.7279,False,False,False,C,A,A,A
biomistral,full,MQ_0158,step2&3,0.7283,False,False,False,C,A,A,A
biomistral,full,MQ_0808,step1,0.729,False,False,False,B,A,A,A
biomistral,full,MQ_0879,step1,0.7319,True,True,True,A,A,A,A
biomistral,full,MQ_0205,step2&3,0.7321,False,False,False,C,A,A,A
biomistral,full,MQ_0663,step2&3,0.7322,False,False,False,D,A,A,A
biomistral,full,MQ_0051,step2&3,0.7346,False,False,False,B,A,A,A
biomistral,full,MQ_0281,step2&3,0.7346,False,False,False,B,A,A,A
biomistral,full,MQ_0157,step1,0.7349,False,False,False,D,A,A,A
biomistral,full,MQ_0005,step2&3,0.7354,True,True,True,A,A,A,A
biomistral,full,MQ_0038,step2&3,0.736,False,False,False,B,A,C,A
biomistral,full,MQ_0143,step2&3,0.7371,False,False,False,C,A,A,A
biomistral,full,MQ_0700,step1,0.7376,False,False,False,B,A,A,A
biomistral,full,MQ_0782,step2&3,0.7392,False,False,False,B,A,A,A
biomistral,full,MQ_0596,step1,0.7393,False,False,False,B,A,A,A
biomistral,full,MQ_0128,step2&3,0.7411,True,True,True,A,A,A,A
biomistral,full,MQ_0346,step2&3,0.7413,True,True,True,A,A,A,A
biomistral,full,MQ_0316,step2&3,0.7417,True,True,True,A,A,A,A
biomistral,full,MQ_0291,step2&3,0.7423,False,False,False,D,A,A,A
biomistral,full,MQ_0043,step1,0.7453,False,False,False,D,A,A,A
biomistral,full,MQ_0550,step1,0.7469,False,False,False,B,A,A,A
biomistral,full,MQ_0312,step2&3,0.7476,False,False,False,B,A,A,A
biomistral,full,MQ_0739,step2&3,0.7486,False,False,False,B,A,A,A
biomistral,full,MQ_0294,step2&3,0.7496,True,True,True,A,A,A,A
biomistral,full,MQ_0194,step1,0.75,False,False,False,C,A,A,A
biomistral,full,MQ_0685,step2&3,0.7504,False,False,False,C,A,A,A
biomistral,full,MQ_0884,step1,0.7508,False,False,False,C,A,A,A
biomistral,full,MQ_0460,step2&3,0.7523,True,True,True,A,A,A,A
biomistral,full,MQ_0582,step1,0.7532,True,True,True,A,A,A,A
biomistral,full,MQ_0127,step2&3,0.7541,False,False,False,B,A,D,D
biomistral,full,MQ_0315,step2&3,0.7544,True,True,True,A,A,A,A
biomistral,full,MQ_0208,step2&3,0.7546,False,False,False,D,A,A,A
biomistral,full,MQ_0442,step2&3,0.7574,False,False,False,B,A,A,A
biomistral,full,MQ_0251,step1,0.7576,True,True,True,A,A,A,A
biomistral,full,MQ_0229,step2&3,0.7584,False,False,False,D,A,A,A
biomistral,full,MQ_0234,step2&3,0.7586,False,False,False,B,A,A,A
biomistral,full,MQ_0734,step2&3,0.7592,False,False,False,C,A,A,A
biomistral,full,MQ_0615,step2&3,0.7599,False,False,False,C,A,A,A
biomistral,full,MQ_0193,step2&3,0.7606,False,False,False,B,A,A,A
biomistral,full,MQ_0855,step1,0.7607,False,False,False,B,A,A,A
biomistral,full,MQ_0477,step2&3,0.7611,False,False,False,D,A,A,A
biomistral,full,MQ_0834,step1,0.7614,False,False,False,C,A,A,A
biomistral,full,MQ_0661,step1,0.7618,False,False,False,B,A,A,A
biomistral,full,MQ_0129,step2&3,0.764,False,False,False,D,A,A,A
biomistral,full,MQ_0695,step2&3,0.764,False,False,False,D,A,A,A
biomistral,full,MQ_0521,step2&3,0.7649,True,True,True,A,A,A,A
biomistral,full,MQ_0267,step2&3,0.7686,False,False,False,C,A,A,A
biomistral,full,MQ_0062,step1,0.7703,True,True,True,A,A,A,A
biomistral,full,MQ_0608,step1,0.7708,False,False,False,B,A,A,D
biomistral,full,MQ_0421,step1,0.7709,True,True,True,A,A,A,A
biomistral,full,MQ_0006,step2&3,0.7715,False,False,False,C,A,A,A
biomistral,full,MQ_0720,step1,0.7717,False,False,False,B,A,A,A
biomistral,full,MQ_0552,step2&3,0.7719,True,True,True,A,A,A,A
biomistral,full,MQ_0142,step1,0.7722,False,False,False,C,A,A,A
biomistral,full,MQ_0958,step2&3,0.7724,False,False,False,C,A,A,A
biomistral,full,MQ_0073,step2&3,0.7728,False,False,False,B,A,A,A
biomistral,full,MQ_0284,step1,0.7748,False,False,False,D,A,A,A
biomistral,full,MQ_0801,step2&3,0.7763,False,False,False,B,A,A,A
biomistral,full,MQ_0816,step2&3,0.7764,False,False,False,D,A,A,A
biomistral,full,MQ_0461,step1,0.7772,True,True,True,A,A,A,A
biomistral,full,MQ_0086,step2&3,0.7775,False,False,False,B,A,A,A
biomistral,full,MQ_0937,step2&3,0.7777,False,False,False,B,A,A,A
biomistral,full,MQ_0151,step2&3,0.778,False,False,False,B,A,A,A
biomistral,full,MQ_0749,step2&3,0.7798,False,False,False,C,A,A,A
biomistral,full,MQ_0648,step2&3,0.7805,False,False,False,D,A,A,A
biomistral,full,MQ_0825,step2&3,0.7806,True,True,True,A,A,A,A
biomistral,full,MQ_0047,step2&3,0.7807,False,False,False,D,A,A,A
biomistral,full,MQ_0802,step2&3,0.7811,True,False,False,D,D,A,A
biomistral,full,MQ_0021,step2&3,0.782,False,False,False,B,D,D,A
biomistral,full,MQ_0817,step2&3,0.7822,False,False,False,D,A,A,A
biomistral,full,MQ_0540,step2&3,0.785,True,True,True,A,A,A,A
biomistral,full,MQ_0003,step2&3,0.7852,False,False,False,C,A,A,A
biomistral,full,MQ_0692,step2&3,0.7852,False,False,False,B,A,A,A
biomistral,full,MQ_0219,step2&3,0.7861,True,True,False,D,D,D,C
biomistral,full,MQ_0342,step2&3,0.7861,True,True,True,A,A,A,A
biomistral,full,MQ_0094,step1,0.7865,False,False,False,C,A,A,A
biomistral,full,MQ_0077,step2&3,0.7867,False,False,False,B,A,A,A
biomistral,full,MQ_0776,step2&3,0.7869,False,False,False,D,A,A,A
biomistral,full,MQ_0023,step2&3,0.7871,True,True,True,A,A,A,A
biomistral,full,MQ_0183,step2&3,0.7873,True,True,True,A,A,A,A
biomistral,full,MQ_0278,step2&3,0.7873,False,False,False,B,A,A,A
biomistral,full,MQ_0830,step2&3,0.7885,False,False,False,C,A,A,A
biomistral,full,MQ_0280,step2&3,0.7888,False,False,False,C,A,A,A
biomistral,full,MQ_0325,step2&3,0.7891,False,False,False,C,A,A,A
biomistral,full,MQ_0446,step2&3,0.79,False,False,False,B,A,A,A
biomistral,full,MQ_0626,step2&3,0.7901,False,False,False,B,A,A,A
biomistral,full,MQ_0792,step2&3,0.7904,False,False,False,B,A,A,A
biomistral,full,MQ_0713,step2&3,0.7905,True,True,True,A,A,A,A
biomistral,full,MQ_0636,step1,0.7911,False,False,False,C,A,A,A
biomistral,full,MQ_0687,step2&3,0.7916,True,True,True,A,A,A,A
biomistral,full,MQ_0798,step2&3,0.7917,False,False,False,C,A,A,A
biomistral,full,MQ_0010,step1,0.7922,False,False,False,B,A,A,A
biomistral,full,MQ_0493,step2&3,0.7923,False,False,False,C,A,A,A
biomistral,full,MQ_0641,step2&3,0.7923,True,True,True,A,A,A,A
biomistral,full,MQ_0705,step2&3,0.7945,False,False,False,D,A,A,A
biomistral,full,MQ_0753,step2&3,0.7954,False,False,False,C,A,A,A
biomistral,full,MQ_0681,step2&3,0.796,False,False,False,B,A,A,A
biomistral,full,MQ_0239,step1,0.7965,False,False,False,C,A,A,A
biomistral,full,MQ_0192,step2&3,0.7967,False,False,False,C,A,A,A
biomistral,full,MQ_0527,step2&3,0.7971,False,False,False,C,A,A,A
biomistral,full,MQ_0410,step2&3,0.7989,False,False,False,B,A,A,A
biomistral,full,MQ_0813,step2&3,0.799,False,False,False,B,A,A,A
biomistral,full,MQ_0168,step2&3,0.7991,False,False,False,C,A,A,A
biomistral,full,MQ_0402,step2&3,0.7997,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0628,step2&3,0.6248,False,False,False,D,C,C,C
gemma3_12b,full,MQ_0856,step1,0.6384,True,False,True,A,A,C,A
gemma3_12b,full,MQ_0990,step2&3,0.6406,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0237,step1,0.6441,False,False,True,C,A,A,C
gemma3_12b,full,MQ_0554,step1,0.6573,False,True,False,A,D,A,D
gemma3_12b,full,MQ_0917,step2&3,0.6575,False,False,True,D,B,A,D
gemma3_12b,full,MQ_0326,step2&3,0.6681,False,False,True,B,C,C,B
gemma3_12b,full,MQ_0046,step1,0.6682,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0049,step2&3,0.674,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0591,step1,0.6747,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0520,step1,0.6749,False,False,True,A,D,B,A
gemma3_12b,full,MQ_0711,step2&3,0.6794,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0082,step1,0.6811,True,False,False,A,A,C,B
gemma3_12b,full,MQ_0810,step1,0.6812,False,False,True,A,D,D,A
gemma3_12b,full,MQ_0868,step1,0.6832,False,False,False,B,C,C,D
gemma3_12b,full,MQ_0277,step1,0.6884,True,False,True,C,C,A,C
gemma3_12b,full,MQ_0525,step2&3,0.689,False,False,True,A,D,D,A
gemma3_12b,full,MQ_0505,step2&3,0.6903,False,False,False,C,B,B,B
gemma3_12b,full,MQ_0952,step2&3,0.6905,True,True,False,B,B,B,C
gemma3_12b,full,MQ_0983,step2&3,0.6947,False,False,False,D,C,C,A
gemma3_12b,full,MQ_0879,step1,0.6953,False,False,False,A,D,D,D
gemma3_12b,full,MQ_0979,step1,0.6989,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0140,step1,0.6992,False,False,False,A,C,C,C
gemma3_12b,full,MQ_0704,step2&3,0.701,False,False,True,B,A,A,B
gemma3_12b,full,MQ_0056,step1,0.7056,False,False,False,A,B,B,B
gemma3_12b,full,MQ_0068,step2&3,0.7062,False,True,False,D,C,D,C
gemma3_12b,full,MQ_0919,step2&3,0.7107,False,False,False,B,A,A,A
gemma3_12b,full,MQ_0183,step2&3,0.7116,False,False,False,A,B,B,B
gemma3_12b,full,MQ_0240,step1,0.7118,False,False,False,D,C,C,C
gemma3_12b,full,MQ_0945,step2&3,0.7176,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0960,step1,0.7182,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0036,step1,0.7183,True,False,False,C,C,A,D
gemma3_12b,full,MQ_0305,step2&3,0.7187,True,False,True,C,C,B,C
gemma3_12b,full,MQ_0080,step1,0.7198,False,False,False,D,C,C,C
gemma3_12b,full,MQ_0116,step2&3,0.7203,False,False,False,A,D,D,D
gemma3_12b,full,MQ_0584,step2&3,0.7222,True,False,True,C,C,A,C
gemma3_12b,full,MQ_0353,step2&3,0.7229,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0876,step2&3,0.7235,True,False,False,D,D,B,A
gemma3_12b,full,MQ_0425,step2&3,0.7261,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0685,step2&3,0.727,False,False,False,C,D,D,D
gemma3_12b,full,MQ_0274,step1,0.7271,False,True,True,C,B,C,C
gemma3_12b,full,MQ_0667,step2&3,0.7278,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0137,step1,0.7305,False,True,False,B,A,B,A
gemma3_12b,full,MQ_0871,step2&3,0.7307,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0682,step2&3,0.731,True,False,True,D,D,C,D
gemma3_12b,full,MQ_0162,step2&3,0.7311,False,False,False,C,D,D,D
gemma3_12b,full,MQ_0121,step2&3,0.7325,False,True,False,D,A,D,B
gemma3_12b,full,MQ_0145,step2&3,0.7339,False,True,False,D,B,D,A
gemma3_12b,full,MQ_0154,step2&3,0.7346,False,False,False,A,B,D,D
gemma3_12b,full,MQ_0303,step2&3,0.7365,False,False,False,A,B,B,C
gemma3_12b,full,MQ_0143,step2&3,0.739,True,False,True,C,C,B,C
gemma3_12b,full,MQ_0320,step1,0.7395,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0278,step2&3,0.7397,False,True,True,B,A,B,B
gemma3_12b,full,MQ_0612,step1,0.7399,True,False,True,D,D,C,D
gemma3_12b,full,MQ_0717,step1,0.7422,False,False,False,B,A,A,A
gemma3_12b,full,MQ_0440,step2&3,0.7432,True,False,True,B,B,D,B
gemma3_12b,full,MQ_0617,step2&3,0.7445,True,False,False,D,D,A,B
gemma3_12b,full,MQ_0042,step1,0.7459,False,False,False,B,D,A,A
gemma3_12b,full,MQ_0074,step2&3,0.7463,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0738,step1,0.7466,False,False,False,B,D,D,D
gemma3_12b,full,MQ_0723,step2&3,0.748,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0536,step2&3,0.7483,False,False,False,A,D,D,C
gemma3_12b,full,MQ_0456,step2&3,0.749,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0029,step2&3,0.7494,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0762,step2&3,0.7494,False,False,False,C,A,A,A
gemma3_12b,full,MQ_0832,step2&3,0.7495,False,True,True,C,A,C,C
gemma3_12b,full,MQ_0112,step2&3,0.7498,False,False,False,C,D,D,D
gemma3_12b,full,MQ_0052,step2&3,0.7499,False,True,True,D,B,D,D
gemma3_12b,full,MQ_0060,step2&3,0.7501,False,False,False,C,A,A,A
gemma3_12b,full,MQ_0263,step1,0.7507,False,False,True,B,D,D,B
gemma3_12b,full,MQ_0516,step2&3,0.7512,False,False,False,C,A,A,A
gemma3_12b,full,MQ_0597,step1,0.7515,False,False,False,D,A,C,C
gemma3_12b,full,MQ_0703,step2&3,0.7517,False,False,False,D,A,A,A
gemma3_12b,full,MQ_0160,step2&3,0.7531,False,False,False,D,A,A,A
gemma3_12b,full,MQ_0994,step2&3,0.7541,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0072,step2&3,0.7549,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0467,step1,0.7563,False,False,False,B,D,A,D
gemma3_12b,full,MQ_0352,step1,0.7589,False,True,True,D,A,D,D
gemma3_12b,full,MQ_0837,step2&3,0.7591,False,False,True,B,D,D,B
gemma3_12b,full,MQ_0951,step2&3,0.7597,False,False,True,D,C,B,D
gemma3_12b,full,MQ_0989,step1,0.7598,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0420,step2&3,0.7619,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0053,step1,0.7622,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0746,step2&3,0.763,True,False,False,B,B,C,D
gemma3_12b,full,MQ_0023,step2&3,0.7644,False,True,False,A,D,A,D
gemma3_12b,full,MQ_0474,step1,0.7646,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0005,step2&3,0.7659,True,False,True,A,A,C,A
gemma3_12b,full,MQ_0517,step1,0.7659,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0203,step2&3,0.7661,False,True,True,C,D,C,C
gemma3_12b,full,MQ_0732,step2&3,0.7663,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0543,step1,0.7667,True,False,False,C,C,D,D
gemma3_12b,full,MQ_0351,step1,0.767,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0501,step2&3,0.7672,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0921,step1,0.7687,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0382,step1,0.769,False,False,False,B,A,A,A
gemma3_12b,full,MQ_0299,step1,0.7695,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0891,step2&3,0.7701,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0313,step2&3,0.7704,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0567,step2&3,0.7708,True,True,False,C,C,C,B
gemma3_12b,full,MQ_0513,step1,0.7727,True,True,False,D,D,D,A
gemma3_12b,full,MQ_0132,step2&3,0.7731,False,False,False,D,B,B,B
gemma3_12b,full,MQ_0246,step1,0.7731,False,False,False,B,D,A,A
gemma3_12b,full,MQ_0744,step2&3,0.7731,False,False,False,D,C,C,C
gemma3_12b,full,MQ_0769,step2&3,0.774,True,False,False,D,D,C,C
gemma3_12b,full,MQ_0787,step2&3,0.7743,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0752,step2&3,0.7744,False,False,False,D,B,B,A
gemma3_12b,full,MQ_0561,step1,0.7751,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0942,step2&3,0.7756,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0803,step2&3,0.7776,False,False,False,B,C,C,C
gemma3_12b,full,MQ_0035,step2&3,0.7777,False,True,True,A,D,A,A
gemma3_12b,full,MQ_0206,step2&3,0.778,False,False,False,B,A,A,A
gemma3_12b,full,MQ_0735,step2&3,0.778,True,False,False,D,D,B,B
gemma3_12b,full,MQ_0604,step1,0.7784,False,False,True,C,A,A,C
gemma3_12b,full,MQ_0144,step1,0.7786,False,False,False,D,A,A,A
gemma3_12b,full,MQ_0743,step2&3,0.7789,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0799,step2&3,0.7789,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0629,step2&3,0.7793,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0261,step2&3,0.7803,True,True,False,C,C,C,A
gemma3_12b,full,MQ_0947,step2&3,0.7814,False,False,False,B,A,C,C
gemma3_12b,full,MQ_0284,step1,0.7817,True,False,False,D,D,A,A
gemma3_12b,full,MQ_0772,step2&3,0.782,True,False,True,C,C,B,C
gemma3_12b,full,MQ_0458,step2&3,0.7827,False,False,False,B,D,D,A
gemma3_12b,full,MQ_0239,step1,0.7851,False,False,True,C,A,A,C
gemma3_12b,full,MQ_0512,step2&3,0.7853,True,False,True,B,B,C,B
gemma3_12b,full,MQ_0138,step1,0.7856,False,False,False,C,A,B,B
gemma3_12b,full,MQ_0298,step2&3,0.7866,True,False,True,A,A,D,A
gemma3_12b,full,MQ_0671,step2&3,0.7874,False,False,False,C,A,A,A
gemma3_12b,full,MQ_0615,step2&3,0.7875,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0055,step1,0.7884,True,True,False,A,A,A,C
gemma3_12b,full,MQ_0302,step2&3,0.7884,False,False,False,A,D,D,B
gemma3_12b,full,MQ_0571,step1,0.7885,False,False,False,B,D,D,D
gemma3_12b,full,MQ_0171,step2&3,0.7892,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0379,step2&3,0.7894,False,False,False,D,A,C,A
gemma3_12b,full,MQ_0101,step2&3,0.7896,True,False,False,C,C,D,A
gemma3_12b,full,MQ_0715,step1,0.7896,True,False,False,D,D,A,C
gemma3_12b,full,MQ_0170,step1,0.7897,False,False,False,D,A,A,A
gemma3_12b,full,MQ_0398,step2&3,0.791,False,False,False,A,B,D,B
gemma3_12b,full,MQ_0111,step2&3,0.7913,True,False,False,B,B,A,A
gemma3_12b,full,MQ_0161,step2&3,0.7918,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0273,step2&3,0.7918,False,False,False,D,B,B,B
gemma3_12b,full,MQ_0470,step2&3,0.7922,True,True,False,A,A,A,C
gemma3_12b,full,MQ_0148,step1,0.7924,True,False,True,C,C,A,C
gemma3_12b,full,MQ_0461,step1,0.7927,False,False,False,A,D,D,B
gemma3_12b,full,MQ_0572,step1,0.7927,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0006,step2&3,0.7933,False,False,False,C,D,D,D
gemma3_12b,full,MQ_0193,step2&3,0.7935,True,True,True,B,B,B,B
gemma3_12b,full,MQ_0632,step2&3,0.7937,False,False,False,A,D,D,C
gemma3_12b,full,MQ_0908,step2&3,0.7939,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0740,step2&3,0.7943,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0770,step1,0.7953,False,True,True,C,B,C,C
gemma3_12b,full,MQ_0798,step2&3,0.7955,False,False,True,C,A,A,C
gemma3_12b,full,MQ_0874,step2&3,0.7955,False,False,False,B,C,C,C
gemma3_12b,full,MQ_0631,step2&3,0.7959,False,False,False,D,B,B,B
gemma3_12b,full,MQ_0927,step2&3,0.7959,False,False,False,A,B,C,C
gemma3_12b,full,MQ_0912,step2&3,0.7965,False,True,True,C,D,C,C
gemma3_12b,full,MQ_0465,step2&3,0.7966,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0970,step1,0.7967,True,True,True,D,D,D,D
gemma3_12b,full,MQ_0026,step1,0.7969,True,True,True,C,C,C,C
gemma3_12b,full,MQ_0027,step1,0.7972,False,False,False,B,C,C,C
gemma3_12b,full,MQ_0976,step2&3,0.7978,False,False,False,A,C,C,C
gemma3_12b,full,MQ_0861,step2&3,0.7981,True,True,True,A,A,A,A
gemma3_12b,full,MQ_0589,step1,0.7984,False,False,False,A,B,B,B
gemma3_12b,full,MQ_0534,step1,0.7998,True,True,True,D,D,D,D
gemma4_e4b,full,MQ_0116,step2&3,0.5639,True,True,True,A,A,A,A
gemma4_e4b,full,MQ_0680,step1,0.601,True,True,False,C,C,C,A
