model,question_id,dss,correct_alpha,correct_beta,correct_gamma,correct_answer
biomistral,MQ_0769,0.3888,False,False,False,D
biomistral,MQ_0755,0.3901,True,False,False,D
biomistral,MQ_0184,0.3905,True,False,False,B
biomistral,MQ_0517,0.3907,False,False,True,C
biomistral,MQ_0263,0.3919,True,False,False,B
biomistral,MQ_0737,0.3933,False,False,False,D
biomistral,MQ_0757,0.3935,True,False,False,D
biomistral,MQ_0682,0.3938,False,True,True,D
biomistral,MQ_0092,0.3941,False,False,False,A
biomistral,MQ_0985,0.3943,True,True,False,A
biomistral,MQ_0003,0.3945,False,False,False,C
biomistral,MQ_0471,0.3948,True,False,False,A
biomistral,MQ_0326,0.3961,False,True,False,B
biomistral,MQ_0738,0.3978,False,False,False,B
biomistral,MQ_0399,0.3988,False,False,False,C
biomistral,MQ_0935,0.3989,True,False,True,A
biomistral,MQ_0076,0.3994,False,False,False,D
biomistral,MQ_0183,0.4004,False,False,False,A
biomistral,MQ_0493,0.4012,False,False,False,C
biomistral,MQ_0674,0.4012,False,False,False,C
biomistral,MQ_0791,0.4012,False,False,True,B
biomistral,MQ_0022,0.4018,False,False,False,B
biomistral,MQ_0325,0.4021,False,True,True,C
biomistral,MQ_0542,0.4041,True,False,False,D
biomistral,MQ_0704,0.4053,False,False,False,B
biomistral,MQ_0261,0.4059,True,False,True,C
biomistral,MQ_0303,0.4065,False,True,True,A
biomistral,MQ_0137,0.4069,False,False,True,B
biomistral,MQ_0062,0.4087,True,True,True,A
biomistral,MQ_0355,0.409,False,False,False,D
biomistral,MQ_0085,0.4095,False,False,False,D
biomistral,MQ_0859,0.4102,True,False,False,A
biomistral,MQ_0027,0.4105,False,False,False,B
biomistral,MQ_0983,0.4113,False,True,True,D
biomistral,MQ_0653,0.4117,True,False,False,D
biomistral,MQ_0008,0.4119,False,True,True,B
biomistral,MQ_0644,0.413,True,False,False,D
biomistral,MQ_0084,0.4146,True,True,False,A
biomistral,MQ_0997,0.4153,False,False,False,D
biomistral,MQ_0005,0.4157,False,False,False,A
biomistral,MQ_0272,0.4157,False,True,False,B
biomistral,MQ_0167,0.4162,True,False,False,D
biomistral,MQ_0374,0.4181,True,False,False,B
biomistral,MQ_0762,0.4197,False,False,False,C
biomistral,MQ_0050,0.4204,False,False,True,C
biomistral,MQ_0081,0.4216,False,False,True,C
biomistral,MQ_0822,0.4221,True,False,True,C
biomistral,MQ_0848,0.4223,False,False,False,A
biomistral,MQ_0057,0.423,True,False,True,B
biomistral,MQ_0591,0.4246,False,False,False,C
biomistral,MQ_0509,0.4247,True,False,True,D
biomistral,MQ_0873,0.4256,False,False,False,D
biomistral,MQ_0221,0.4264,True,False,False,D
biomistral,MQ_0291,0.4281,False,True,False,D
biomistral,MQ_0692,0.4286,False,False,False,B
biomistral,MQ_0839,0.4289,False,True,False,B
biomistral,MQ_0098,0.4292,False,True,False,A
biomistral,MQ_0609,0.4299,True,False,False,B
biomistral,MQ_0320,0.4302,True,False,False,C
biomistral,MQ_0384,0.4315,False,False,False,C
biomistral,MQ_0711,0.432,False,False,False,C
biomistral,MQ_0314,0.4326,False,False,False,C
biomistral,MQ_0115,0.4331,True,False,False,A
biomistral,MQ_0159,0.4339,False,True,True,A
biomistral,MQ_0817,0.4347,False,False,False,D
biomistral,MQ_0430,0.4351,True,True,False,D
biomistral,MQ_0002,0.4357,True,False,True,C
biomistral,MQ_0029,0.4357,True,False,False,D
biomistral,MQ_0171,0.4358,False,True,True,A
biomistral,MQ_0521,0.4362,True,True,False,A
biomistral,MQ_0954,0.4363,False,False,False,C
biomistral,MQ_0528,0.4366,True,False,False,C
biomistral,MQ_0709,0.4371,True,True,False,C
biomistral,MQ_0917,0.4383,False,False,True,D
biomistral,MQ_0531,0.4392,False,False,False,B
biomistral,MQ_0980,0.4394,False,False,False,B
biomistral,MQ_0066,0.4402,False,True,True,C
biomistral,MQ_0040,0.441,True,True,False,A
biomistral,MQ_0412,0.4413,True,False,False,D
biomistral,MQ_0618,0.4414,False,True,False,B
biomistral,MQ_0205,0.4417,False,False,False,C
biomistral,MQ_0082,0.4423,True,True,True,A
biomistral,MQ_0025,0.4424,True,False,True,C
biomistral,MQ_0443,0.4437,True,False,True,D
biomistral,MQ_0034,0.446,True,False,True,B
biomistral,MQ_0407,0.4464,True,True,False,D
biomistral,MQ_0447,0.4464,False,False,True,B
biomistral,MQ_0676,0.4464,True,False,True,A
biomistral,MQ_0208,0.4476,True,True,False,D
biomistral,MQ_0110,0.4481,True,False,True,D
biomistral,MQ_0763,0.4489,False,True,False,C
biomistral,MQ_0928,0.4494,False,False,False,B
biomistral,MQ_0256,0.4497,True,True,False,D
biomistral,MQ_0241,0.45,False,False,False,A
biomistral,MQ_0625,0.4512,False,True,True,A
biomistral,MQ_0907,0.4513,False,False,False,C
biomistral,MQ_0116,0.4516,False,True,False,A
biomistral,MQ_0197,0.4534,False,False,True,D
biomistral,MQ_0844,0.4558,False,False,True,B
biomistral,MQ_0335,0.4574,True,True,False,A
biomistral,MQ_0919,0.4581,False,True,False,B
biomistral,MQ_0540,0.4584,True,False,False,A
biomistral,MQ_0567,0.4614,True,True,False,C
biomistral,MQ_0119,0.4617,True,False,True,B
biomistral,MQ_0411,0.462,True,False,True,B
biomistral,MQ_0377,0.4627,False,False,False,A
biomistral,MQ_0485,0.4633,True,False,True,B
biomistral,MQ_0207,0.4635,False,False,False,B
biomistral,MQ_0131,0.4636,False,False,False,B
biomistral,MQ_0248,0.4637,False,False,False,A
biomistral,MQ_0553,0.4663,False,False,False,C
biomistral,MQ_0858,0.4669,False,False,False,C
biomistral,MQ_0860,0.4676,False,False,True,C
biomistral,MQ_0912,0.4677,False,False,False,C
biomistral,MQ_0990,0.4677,False,True,True,A
biomistral,MQ_0338,0.4683,True,True,False,B
biomistral,MQ_0894,0.4685,True,False,False,D
biomistral,MQ_0479,0.4689,False,True,False,B
biomistral,MQ_0247,0.4696,True,True,False,A
biomistral,MQ_0690,0.4701,False,False,True,D
biomistral,MQ_0714,0.4731,False,False,False,A
biomistral,MQ_0124,0.4733,False,True,True,C
biomistral,MQ_0158,0.4733,False,False,True,C
biomistral,MQ_0583,0.4735,False,False,False,C
biomistral,MQ_0546,0.4742,False,False,False,D
biomistral,MQ_0832,0.4743,True,False,False,C
biomistral,MQ_0107,0.4771,False,False,False,B
biomistral,MQ_0729,0.4774,False,True,True,C
biomistral,MQ_0310,0.4778,True,False,False,B
biomistral,MQ_0028,0.4782,False,False,False,D
biomistral,MQ_0035,0.4785,False,False,False,A
biomistral,MQ_0318,0.4785,True,False,True,A
biomistral,MQ_0378,0.479,True,True,True,A
biomistral,MQ_0941,0.4794,True,True,False,D
biomistral,MQ_0161,0.4809,True,True,False,B
biomistral,MQ_0143,0.4812,False,False,False,C
biomistral,MQ_0529,0.4816,False,True,False,B
biomistral,MQ_0252,0.4818,False,False,False,D
biomistral,MQ_0809,0.4819,False,True,True,B
biomistral,MQ_0294,0.4832,False,True,False,A
biomistral,MQ_0526,0.4848,False,False,True,B
biomistral,MQ_0541,0.485,True,False,False,C
biomistral,MQ_0238,0.4859,False,True,False,D
biomistral,MQ_0380,0.4862,True,False,True,C
biomistral,MQ_0979,0.4867,True,True,True,D
biomistral,MQ_0513,0.4872,True,False,True,D
biomistral,MQ_0726,0.4875,False,True,True,A
biomistral,MQ_0637,0.4876,True,True,False,A
biomistral,MQ_0112,0.4879,False,False,True,C
biomistral,MQ_0571,0.4881,False,False,True,B
biomistral,MQ_0645,0.4885,True,False,True,A
biomistral,MQ_0847,0.4886,False,False,False,B
biomistral,MQ_0854,0.4887,False,True,False,C
biomistral,MQ_0154,0.4893,False,False,False,A
biomistral,MQ_0563,0.4904,True,True,False,C
biomistral,MQ_0805,0.4909,False,False,True,A
biomistral,MQ_0600,0.491,True,True,False,C
biomistral,MQ_0562,0.4919,True,True,False,D
biomistral,MQ_0923,0.492,False,False,True,C
biomistral,MQ_0226,0.4925,False,False,True,A
biomistral,MQ_0875,0.4929,False,True,True,C
biomistral,MQ_0774,0.4941,True,False,False,B
biomistral,MQ_0243,0.4947,False,False,True,B
biomistral,MQ_0612,0.4947,False,False,False,D
biomistral,MQ_0365,0.4957,False,False,False,B
biomistral,MQ_0080,0.4968,False,False,True,D
biomistral,MQ_0353,0.4968,True,False,True,D
biomistral,MQ_0793,0.4974,False,False,False,D
biomistral,MQ_0289,0.4981,False,False,False,C
biomistral,MQ_0761,0.4987,False,False,False,B
biomistral,MQ_0843,0.4987,False,False,True,C
biomistral,MQ_0198,0.5007,False,False,False,C
biomistral,MQ_0667,0.5009,False,True,False,C
biomistral,MQ_0249,0.502,True,True,False,A
biomistral,MQ_0188,0.5028,True,True,False,A
biomistral,MQ_0125,0.5039,True,False,False,C
biomistral,MQ_0872,0.5041,True,True,False,B
biomistral,MQ_0981,0.5043,False,False,True,B
biomistral,MQ_0559,0.5051,True,True,False,A
biomistral,MQ_0705,0.5054,False,False,False,D
biomistral,MQ_0324,0.5057,True,False,False,B
biomistral,MQ_0815,0.5061,False,False,False,D
biomistral,MQ_0916,0.5063,True,True,False,A
biomistral,MQ_0039,0.5067,False,False,False,D
biomistral,MQ_0536,0.5071,True,True,False,A
biomistral,MQ_0882,0.5076,True,False,False,A
biomistral,MQ_0575,0.5079,False,False,False,A
biomistral,MQ_0732,0.5082,True,False,False,A
biomistral,MQ_0088,0.5083,False,True,True,C
biomistral,MQ_0668,0.5099,False,False,False,B
biomistral,MQ_0075,0.5104,False,False,False,D
biomistral,MQ_0042,0.5108,False,False,False,B
biomistral,MQ_0758,0.5122,False,True,True,C
biomistral,MQ_0533,0.5124,False,False,False,B
biomistral,MQ_0812,0.5127,True,True,False,B
biomistral,MQ_0840,0.513,False,False,False,C
biomistral,MQ_0255,0.5133,False,True,False,A
biomistral,MQ_0936,0.5133,True,True,False,D
biomistral,MQ_0606,0.5136,False,False,False,D
biomistral,MQ_0176,0.514,True,True,False,A
biomistral,MQ_0725,0.5144,False,False,False,D
biomistral,MQ_0955,0.5147,False,False,False,C
biomistral,MQ_0501,0.515,True,False,False,C
biomistral,MQ_0662,0.5151,False,False,False,C
biomistral,MQ_0700,0.5161,False,False,False,B
biomistral,MQ_0121,0.5166,True,True,False,D
biomistral,MQ_0045,0.5173,False,False,False,D
biomistral,MQ_0130,0.5173,False,False,False,C
biomistral,MQ_0656,0.518,False,True,False,C
biomistral,MQ_0211,0.5181,False,True,True,A
biomistral,MQ_0949,0.5181,False,True,True,C
biomistral,MQ_0041,0.5184,True,False,False,D
biomistral,MQ_0346,0.5187,True,True,False,A
biomistral,MQ_0803,0.5192,False,False,False,B
biomistral,MQ_0499,0.5193,True,False,False,D
biomistral,MQ_0551,0.5195,False,False,False,B
biomistral,MQ_0794,0.5203,True,True,False,D
biomistral,MQ_0093,0.521,False,False,False,B
biomistral,MQ_0652,0.5216,True,True,True,D
biomistral,MQ_0864,0.5233,True,True,False,C
biomistral,MQ_0689,0.5237,False,False,False,C
biomistral,MQ_0569,0.5238,True,False,False,A
biomistral,MQ_0747,0.5249,False,True,True,D
biomistral,MQ_0149,0.5251,True,True,False,C
biomistral,MQ_0433,0.5258,True,True,False,A
biomistral,MQ_0577,0.526,True,False,True,B
biomistral,MQ_0419,0.5268,False,False,False,B
biomistral,MQ_0460,0.527,True,False,False,A
biomistral,MQ_0940,0.5272,False,False,False,B
biomistral,MQ_0564,0.5278,True,True,False,C
biomistral,MQ_0316,0.531,False,True,True,A
biomistral,MQ_0751,0.5326,False,False,False,B
biomistral,MQ_0565,0.5328,False,False,False,C
biomistral,MQ_0220,0.5329,False,False,False,C
biomistral,MQ_0556,0.5329,False,False,True,D
biomistral,MQ_0148,0.533,False,False,False,C
biomistral,MQ_0295,0.534,True,False,True,A
biomistral,MQ_0058,0.5351,True,False,True,A
biomistral,MQ_0290,0.5356,True,True,False,D
biomistral,MQ_0896,0.5368,False,False,False,C
biomistral,MQ_0388,0.5381,True,True,False,B
biomistral,MQ_0581,0.5396,True,True,False,D
biomistral,MQ_0280,0.5398,True,False,False,C
biomistral,MQ_0016,0.5401,False,False,False,D
biomistral,MQ_0233,0.5401,False,False,False,A
biomistral,MQ_0239,0.5402,True,False,False,C
biomistral,MQ_0996,0.5404,True,True,False,B
biomistral,MQ_0414,0.5406,False,False,False,C
biomistral,MQ_0032,0.5414,False,False,False,B
biomistral,MQ_0331,0.542,False,False,False,C
biomistral,MQ_0828,0.5435,True,False,False,C
biomistral,MQ_0046,0.5442,False,True,False,D
biomistral,MQ_0359,0.5446,True,False,False,D
biomistral,MQ_0699,0.5446,False,True,True,A
biomistral,MQ_0825,0.5447,False,True,False,A
biomistral,MQ_0505,0.546,False,True,False,C
biomistral,MQ_0678,0.5491,False,True,False,A
biomistral,MQ_0416,0.5495,False,False,False,C
biomistral,MQ_0472,0.5497,False,False,False,B
biomistral,MQ_0340,0.5503,True,False,False,B
biomistral,MQ_0102,0.5507,False,True,True,A
biomistral,MQ_0742,0.5507,False,True,True,C
biomistral,MQ_0634,0.5508,False,False,False,C
biomistral,MQ_0510,0.5522,True,False,False,C
biomistral,MQ_0180,0.5539,False,False,False,C
biomistral,MQ_0659,0.5541,True,True,True,B
biomistral,MQ_0537,0.5544,False,True,False,B
biomistral,MQ_0855,0.5564,True,True,False,B
biomistral,MQ_0387,0.5567,False,False,False,B
biomistral,MQ_0217,0.5576,False,True,False,B
biomistral,MQ_0908,0.558,True,True,False,A
biomistral,MQ_0482,0.5583,False,False,True,B
biomistral,MQ_0632,0.5584,False,True,False,A
biomistral,MQ_0760,0.5587,False,True,False,A
biomistral,MQ_0360,0.5588,True,False,False,B
biomistral,MQ_0845,0.5588,False,False,False,C
biomistral,MQ_0168,0.5595,False,True,False,C
biomistral,MQ_0962,0.5597,True,False,True,B
biomistral,MQ_0558,0.5598,True,False,False,D
biomistral,MQ_0140,0.5601,False,True,True,A
biomistral,MQ_0111,0.5607,True,True,False,B
biomistral,MQ_0070,0.5611,False,False,False,B
biomistral,MQ_0173,0.563,True,False,False,B
biomistral,MQ_0410,0.5634,False,False,True,B
biomistral,MQ_0964,0.5644,True,True,False,C
biomistral,MQ_0259,0.5656,True,False,True,D
biomistral,MQ_0752,0.5656,False,False,False,D
biomistral,MQ_0543,0.5671,True,False,False,C
biomistral,MQ_0152,0.5672,False,False,False,B
biomistral,MQ_0890,0.5678,True,True,True,D
biomistral,MQ_0887,0.5684,False,False,False,C
biomistral,MQ_0096,0.5693,False,False,False,A
biomistral,MQ_0867,0.5702,True,True,True,A
biomistral,MQ_0037,0.571,True,False,True,C
biomistral,MQ_0363,0.5712,False,False,False,B
biomistral,MQ_0792,0.5722,True,False,True,B
biomistral,MQ_0321,0.5724,False,True,False,A
biomistral,MQ_0278,0.5728,False,False,True,B
biomistral,MQ_0617,0.5731,True,True,True,D
biomistral,MQ_0929,0.5733,True,True,False,D
biomistral,MQ_0511,0.5734,False,False,False,C
biomistral,MQ_0503,0.5743,False,False,False,A
biomistral,MQ_0925,0.5743,False,False,False,A
biomistral,MQ_0144,0.5755,True,True,True,D
biomistral,MQ_0975,0.5759,False,True,True,A
biomistral,MQ_0810,0.5771,False,True,False,A
biomistral,MQ_0071,0.5772,False,False,False,B
biomistral,MQ_0599,0.5775,True,False,True,B
biomistral,MQ_0717,0.5775,False,False,False,B
biomistral,MQ_0507,0.5776,True,False,False,C
biomistral,MQ_0462,0.5777,True,False,True,B
biomistral,MQ_0849,0.5786,False,True,True,B
biomistral,MQ_0343,0.5788,True,False,False,B
biomistral,MQ_0881,0.5789,True,True,False,A
biomistral,MQ_0064,0.5792,True,False,False,C
biomistral,MQ_0147,0.5793,False,False,True,C
biomistral,MQ_0904,0.5808,False,True,True,C
biomistral,MQ_0550,0.5811,True,False,False,B
biomistral,MQ_0675,0.5822,False,False,True,B
biomistral,MQ_0744,0.5825,False,True,True,D
biomistral,MQ_0527,0.5831,False,False,False,C
biomistral,MQ_0138,0.5839,False,False,False,C
biomistral,MQ_0773,0.5844,True,True,True,D
biomistral,MQ_0716,0.5845,True,True,True,C
biomistral,MQ_0951,0.5846,False,False,False,D
biomistral,MQ_0059,0.5848,False,True,False,C
biomistral,MQ_0684,0.5855,True,True,True,A
biomistral,MQ_0826,0.5858,False,True,False,B
biomistral,MQ_0014,0.587,True,True,True,D
biomistral,MQ_0733,0.5871,True,True,True,D
biomistral,MQ_0108,0.5875,True,True,True,D
biomistral,MQ_0889,0.5878,True,False,True,D
biomistral,MQ_0437,0.5882,False,False,False,B
biomistral,MQ_0104,0.5887,False,True,True,C
biomistral,MQ_0120,0.5889,True,True,False,D
biomistral,MQ_0362,0.5892,False,False,False,B
biomistral,MQ_0798,0.5894,False,False,False,C
biomistral,MQ_0495,0.5898,False,False,False,A
biomistral,MQ_0608,0.59,True,False,False,B
biomistral,MQ_0950,0.59,False,False,False,B
biomistral,MQ_0142,0.5907,False,False,False,C
biomistral,MQ_0816,0.5911,True,False,True,D
biomistral,MQ_0223,0.5913,True,False,True,D
biomistral,MQ_0649,0.592,False,False,False,C
biomistral,MQ_0868,0.5921,True,True,False,B
biomistral,MQ_0824,0.5922,False,False,False,C
biomistral,MQ_0740,0.5931,True,True,False,A
biomistral,MQ_0193,0.5942,True,False,True,B
biomistral,MQ_0555,0.5942,True,True,True,D
biomistral,MQ_0345,0.5967,False,False,False,A
biomistral,MQ_0010,0.5975,True,True,True,B
biomistral,MQ_0913,0.5977,False,False,True,B
biomistral,MQ_0987,0.6002,False,True,True,A
biomistral,MQ_0613,0.6007,False,False,False,C
biomistral,MQ_0393,0.6026,False,True,True,C
biomistral,MQ_0055,0.6033,True,True,True,A
biomistral,MQ_0710,0.6046,False,False,False,D
biomistral,MQ_0626,0.6053,False,False,False,B
biomistral,MQ_0796,0.607,False,False,False,B
biomistral,MQ_0341,0.6072,False,True,True,A
biomistral,MQ_0428,0.6073,False,True,False,A
biomistral,MQ_0095,0.6082,True,True,True,C
biomistral,MQ_0851,0.6082,True,False,False,A
biomistral,MQ_0481,0.6084,False,False,False,B
biomistral,MQ_0271,0.6091,True,True,True,A
biomistral,MQ_0853,0.6091,False,False,True,C
biomistral,MQ_0347,0.6108,False,False,False,B
biomistral,MQ_0743,0.6114,True,True,True,C
biomistral,MQ_0329,0.6121,False,False,False,C
biomistral,MQ_0079,0.6123,False,False,False,B
biomistral,MQ_0006,0.6159,False,False,False,C
biomistral,MQ_0821,0.6161,False,False,False,C
biomistral,MQ_0445,0.6162,True,True,False,B
biomistral,MQ_0403,0.6165,True,False,False,B
biomistral,MQ_0952,0.6165,True,True,False,B
biomistral,MQ_0051,0.6167,False,False,False,B
biomistral,MQ_0231,0.6167,False,True,False,A
biomistral,MQ_0683,0.6188,False,False,False,C
biomistral,MQ_0467,0.6194,False,False,False,B
biomistral,MQ_0348,0.6201,True,True,True,D
biomistral,MQ_0434,0.6201,True,True,False,A
biomistral,MQ_0650,0.6206,True,False,True,D
biomistral,MQ_0151,0.6227,True,False,True,B
biomistral,MQ_0708,0.6229,True,False,True,B
biomistral,MQ_0427,0.6232,True,False,True,A
biomistral,MQ_0490,0.6246,False,False,False,A
biomistral,MQ_0897,0.6248,False,False,False,C
biomistral,MQ_0474,0.6256,True,True,True,A
biomistral,MQ_0879,0.6267,False,False,False,A
biomistral,MQ_0060,0.627,True,True,False,C
biomistral,MQ_0525,0.6271,True,True,True,A
biomistral,MQ_0857,0.6277,True,False,True,D
biomistral,MQ_0670,0.628,True,True,True,A
biomistral,MQ_0960,0.6285,True,True,True,A
biomistral,MQ_0269,0.629,False,False,True,B
biomistral,MQ_0352,0.6293,True,False,True,D
biomistral,MQ_0831,0.6296,False,False,False,A
biomistral,MQ_0297,0.6302,True,True,False,D
biomistral,MQ_0323,0.6305,True,True,False,D
biomistral,MQ_0004,0.6307,True,False,True,B
biomistral,MQ_0686,0.6317,False,True,False,A
biomistral,MQ_0891,0.6321,True,True,True,C
biomistral,MQ_0646,0.6331,False,False,False,A
biomistral,MQ_0189,0.6332,False,False,False,D
biomistral,MQ_0174,0.6339,False,False,False,D
biomistral,MQ_0273,0.6348,True,False,True,D
biomistral,MQ_0504,0.636,True,True,True,D
biomistral,MQ_0285,0.6365,False,False,False,C
biomistral,MQ_0069,0.6369,False,True,False,A
biomistral,MQ_0361,0.6369,False,False,False,A
biomistral,MQ_0616,0.6369,True,True,True,C
biomistral,MQ_0749,0.6369,False,False,False,C
biomistral,MQ_0713,0.6377,True,True,False,A
biomistral,MQ_0133,0.6385,True,True,False,D
biomistral,MQ_0492,0.6397,True,True,False,B
biomistral,MQ_0895,0.64,True,False,True,C
biomistral,MQ_0522,0.6403,True,True,False,B
biomistral,MQ_0031,0.6405,True,True,True,A
biomistral,MQ_0739,0.6416,False,False,False,B
biomistral,MQ_0961,0.6419,True,True,False,A
biomistral,MQ_0852,0.6421,True,False,False,C
biomistral,MQ_0677,0.6426,False,True,False,B
biomistral,MQ_0417,0.6433,False,False,False,C
biomistral,MQ_0219,0.6444,True,False,True,D
biomistral,MQ_0397,0.6444,False,False,False,A
biomistral,MQ_0901,0.6444,True,True,True,C
biomistral,MQ_0736,0.646,False,False,False,C
biomistral,MQ_0090,0.6465,False,False,False,D
biomistral,MQ_0620,0.6484,True,False,False,A
biomistral,MQ_0545,0.6494,True,False,True,B
biomistral,MQ_0756,0.6499,False,False,False,B
biomistral,MQ_0902,0.6499,True,False,False,D
biomistral,MQ_0876,0.6501,False,False,True,D
biomistral,MQ_0191,0.6503,False,False,False,D
biomistral,MQ_0836,0.6503,False,False,False,C
biomistral,MQ_0939,0.6505,True,True,True,D
biomistral,MQ_0317,0.6509,True,False,True,C
biomistral,MQ_0162,0.6511,False,False,False,C
biomistral,MQ_0438,0.6512,False,True,True,A
biomistral,MQ_0982,0.6515,True,False,True,B
biomistral,MQ_0899,0.6517,False,False,False,A
biomistral,MQ_0265,0.6521,True,True,True,A
biomistral,MQ_0523,0.6524,False,False,False,D
biomistral,MQ_0170,0.6525,False,False,False,D
biomistral,MQ_0754,0.6525,True,True,True,A
biomistral,MQ_0648,0.6541,True,True,True,D
biomistral,MQ_0619,0.6547,False,False,False,D
biomistral,MQ_0580,0.6555,False,False,False,B
biomistral,MQ_0538,0.6557,True,False,False,A
biomistral,MQ_0602,0.6565,False,False,False,B
biomistral,MQ_0350,0.657,True,True,True,D
biomistral,MQ_0808,0.6579,False,False,False,B
biomistral,MQ_0701,0.6581,True,True,True,C
biomistral,MQ_0885,0.6583,False,False,False,C
biomistral,MQ_0036,0.6598,False,False,False,C
